operator,pcell,freq,count
T-Mobile,66786,403,3
T-Mobile,2300,403,1
T-Mobile,66786,285,2
T-Mobile,66786,383,4
T-Mobile,66786,381,1
T-Mobile,66786,52,1
T-Mobile,66786,102,2
T-Mobile,66786,103,3
T-Mobile,66786,51,5
T-Mobile,66786,53,1
T-Mobile,66786,382,1
T-Mobile,66786,104,1
T-Mobile,5035,73,2
T-Mobile,5035,377,1
Verizon,1000,196,1
Verizon,1000,195,1
Verizon,1000,51,1
Verizon,1000,52,6
ATT,1975,277,1
Sprint,41094,483,5
Sprint,41094,493,6
Sprint,41094,175,2
Sprint,40978,416,2
Sprint,41094,503,6
Sprint,41094,470,4
Sprint,41094,54,2
Sprint,41176,416,2
